x[i]|V[i]|Psi[i]|Chi[i]|Psi2[i]
-82.6|0|0|0|0
-82.5|0|0|0|0
-82.4|0|0|0|0
-82.3|0|0|0|0
-82.2|0|0|0|0
-82.1|0|0|0|0
-82|0|0|0|0
-81.9|0|0|0|0
-81.8|0|0|0|0
-81.7|0|0|0|0
-81.6|0|0|0|0
-81.5|0|0|0|0
-81.4|0|0|0|0
-81.3|0|0|0|0
-81.2|0|0|0|0
-81.1|0|0|0|0
-81|0|0|0|0
-80.9|0|0|0|0
-80.8|0|0|0|0
-80.7|0|0|0|0
-80.6|0|0|0|0
-80.5|0|0|0|0
-80.4|0|0|0|0
-80.3|0|0|0|0
-80.2|0|0|0|0
-80.1|0|0|0|0
-80|0|0|0|0
-79.9|0|0|0|0
-79.8|0|0|0|0
-79.7|0|0|0|0
-79.6|0|0|0|0
-79.5|0|0|0|0
-79.4|0|0|0|0
-79.3|0|0|0|0
-79.2|0|0|0|0
-79.1|0|0|0|0
-79|0|0|0|0
-78.9|0|0|0|0
-78.8|0|0|0|0
-78.7|0|0|0|0
-78.6|0|0|0|0
-78.5|0|0|0|0
-78.4|0|0|0|0
-78.3|0|0|0|0
-78.2|0|0|0|0
-78.1|0|0|0|0
-78|0|0|0|0
-77.9|0|0|0|0
-77.8|0|0|0|0
-77.7|0|0|0|0
-77.6|0|0|0|0
-77.5|0|0|0|0
-77.4|0|0|0|0
-77.3|0|0|0|0
-77.2|0|0|0|0
-77.1|0|0|0|0
-77|0|0|0|0
-76.9|0|0|0|0
-76.8|0|0|0|0
-76.7|0|0|0|0
-76.6|0|0|0|0
-76.5|0|0|0|0
-76.4|0|0|0|0
-76.3|0|0|0|0
-76.2|0|0|0|0
-76.1|0|0|0|0
-76|0|0|0|0
-75.9|0|0|0|0
-75.8|0|0|0|0
-75.7|0|0|0|0
-75.6|0|0|0|0
-75.5|0|0|0|0
-75.4|0|0|0|0
-75.3|0|0|0|0
-75.2|0|0|0|0
-75.1|0|0|0|0
-75|0|0|0|0
-74.9|0|0|0|0
-74.8|0|0|0|0
-74.7|0|0|0|0
-74.6|0|0|0|0
-74.5|0|0|0|0
-74.4|0|0|0|0
-74.3|0|0|0|0
-74.2|0|0|0|0
-74.1|0|0|0|0
-74|0|0|0|0
-73.9|0|0|0|0
-73.8|0|0|0|0
-73.7|0|0|0|0
-73.6|0|0|0|0
-73.5|0|0|0|0
-73.4|0|0|0|0
-73.3|0|0|0|0
-73.2|0|0|0|0
-73.1|0|0|0|0
-73|0|0|0|0
-72.9|0|0|0|0
-72.8|0|0|0|0
-72.7|0|0|0|0
-72.6|0|0|0|0
-72.5|0|0|0|0
-72.4|0|0|0|0
-72.3|0|0|0|0
-72.2|0|0|0|0
-72.1|0|0|0|0
-72|0|0|0|0
-71.9|0|0|0|0
-71.8|0|0|0|0
-71.7|0|0|0|0
-71.6|0|0|0|0
-71.5|0|0|0|0
-71.4|0|0|0|0
-71.3|0|0|0|0
-71.2|0|0|0|0
-71.1|0|0|0|0
-71|0|0|0|0
-70.9|0|0|0|0
-70.8|0|0|0|0
-70.7|0|0|0|0
-70.6|0|0|0|0
-70.5|0|0|0|0
-70.4|0|0|0|0
-70.3|0|0|0|0
-70.2|0|0|0|0
-70.1|0|0|0|0
-70|0|0|0|0
-69.9|0|0|0|0
-69.8|0|0|0|0
-69.7|0|0|0|0
-69.6|0|0|0|0
-69.5|0|0|0|0
-69.4|0|0|0|0
-69.3|0|0|0|0
-69.2|0|0|0|0
-69.1|0|0|0|0
-69|0|0|0|0
-68.9|0|0|0|0
-68.8|0|0|0|0
-68.7|0|0|0|0
-68.6|0|0|0|0
-68.5|0|0|0|0
-68.4|0|0|0|0
-68.3|0|0|0|0
-68.2|0|0|0|0
-68.1|0|0|0|0
-68|0|0|0|0
-67.9|0|0|0|0
-67.8|0|0|0|0
-67.7|0|0|0|0
-67.6|0|0|0|0
-67.5|0|0|0|0
-67.4|0|0|0|0
-67.3|0|0|0|0
-67.2|0|0|0|0
-67.1|0|0|0|0
-67|0|0|0|0
-66.9|0|0|0|0
-66.8|0|0|0|0
-66.7|0|0|0|0
-66.6|0|0|0|0
-66.5|0|0|0|0
-66.4|0|0|0|0
-66.3|0|0|0|0
-66.2|0|0|0|0
-66.1|0|0|0|0
-66|0|0|0|0
-65.9|0|0|0|0
-65.8|0|0|0|0
-65.7|0|0|0|0
-65.6|0|0|0|0
-65.5|0|4.94066e-324|-4.94066e-324|0
-65.4|0|-3.71043e-321|9.58487e-322|0
-65.3|0|6.97616e-319|2.57665e-319|0
-65.2|0|-5.17038e-317|-8.64808e-317|0
-65.1|0|-1.18721e-315|1.07574e-314|0
-65|0|5.76763e-313|-6.83704e-313|0
-64.9|0|-5.42653e-311|1.46287e-311|0
-64.8|0|2.62385e-309|1.23447e-309|0
-64.7|0|-4.96443e-308|-1.2997e-307|0
-64.6|0|-2.09469e-306|5.74258e-306|0
-64.5|0|1.91223e-304|-1.12916e-304|0
-64.4|0|-6.56225e-303|-1.6421e-303|0
-64.3|0|8.59384e-302|1.7928e-301|0
-64.2|0|2.12453e-300|-5.20724e-300|0
-64.1|0|-1.24998e-298|4.63182e-299|0
-64|0|2.29607e-297|1.63984e-297|0
-63.9|0|4.27943e-297|-6.21427e-296|0
-63.8|0|-1.05525e-294|6.18316e-295|0
-63.7|0|1.76965e-293|1.21123e-293|0
-63.6|0|8.15356e-293|-4.04341e-292|0
-63.5|0|-6.79059e-291|1.67167e-291|0
-63.4|0|5.71909e-290|1.03036e-289|0
-63.3|0|1.36937e-288|-1.58246e-288|0
-63.2|0|-2.90142e-287|-1.4121e-287|0
-63.1|0|-1.29325e-286|5.50525e-286|0
-63|0|8.67571e-285|-3.70098e-286|0
-62.9|0|-2.51378e-284|-1.40443e-283|0
-62.8|0|-2.04629e-282|9.49291e-283|0
-62.7|0|1.76053e-281|2.96154e-281|0
-62.6|0|4.07329e-280|-3.7929e-280|0
-62.5|0|-6.04895e-279|-5.29662e-279|0
-62.4|0|-6.92676e-278|1.10067e-277|0
-62.3|0|1.63703e-276|7.89592e-277|0
-62.2|0|9.79168e-276|-2.71971e-275|0
-62.1|0|-3.87488e-274|-8.85244e-275|0
-62|0|-1.00948e-273|6.06547e-273|0
-61.9|0|8.3888e-272|3.45994e-273|0
-61.8|0|1.87019e-272|-1.25811e-270|0
-61.7|0|-1.7022e-269|1.80479e-270|0
-61.6|0|2.67254e-269|2.47149e-268|0
-61.5|0|3.28749e-267|-7.37456e-268|0
-61.4|0|-9.6785e-267|-4.65451e-266|0
-61.3|0|-6.10722e-265|1.94223e-265|0
-61.2|0|2.42681e-264|8.47676e-264|0
-61.1|0|1.09953e-262|-4.27264e-263|0
-61|0|-5.15883e-262|-1.50215e-261|0
-60.9|0|-1.92861e-260|8.41617e-261|0
-60.8|0|9.86563e-260|2.60113e-259|0
-60.7|0|3.3072e-258|-1.52699e-258|0
-60.6|0|-1.7393e-257|-4.41257e-257|0
-60.5|0|-5.55533e-256|2.58536e-256|0
-60.4|0|2.85704e-255|7.3422e-255|0
-60.3|0|9.14791e-254|-4.10607e-254|0
-60.2|0|-4.38493e-253|-1.19842e-252|0
-60.1|0|-1.47641e-251|6.11485e-252|0
-60|0|6.26379e-251|1.91744e-250|0
-59.9|0|2.33327e-249|-8.48513e-250|0
-59.8|0|-8.22272e-249|-3.00324e-248|0
-59.7|0|-3.60569e-247|1.08014e-247|0
-59.6|0|9.62357e-247|4.59709e-246|0
-59.5|0|5.43919e-245|-1.21706e-245|0
-59.4|0|-9.25894e-245|-6.86388e-244|0
-59.3|0|-7.99403e-243|1.09886e-243|0
-59.2|0|5.12093e-243|9.97597e-242|0
-59.1|0|1.14228e-240|-4.69242e-242|0
-59|0|5.81962e-241|-1.40826e-239|0
-58.9|0|-1.58328e-238|-1.04501e-239|0
-58.8|0|-2.77567e-238|1.92621e-237|0
-58.7|0|2.1232e-236|3.94263e-237|0
-58.6|0|6.60238e-236|-2.54575e-235|0
-58.5|0|-2.74608e-234|-8.83377e-235|0
-58.4|0|-1.26796e-233|3.24e-233|0
-58.3|0|3.41189e-232|1.6392e-232|0
-58.2|0|2.16422e-231|-3.95338e-231|0
-58.1|0|-4.05e-230|-2.72641e-230|0
-58|0|-3.40338e-229|4.5958e-229|0
-57.9|0|4.5557e-228|4.1936e-228|0
-57.8|0|5.01599e-227|-5.04117e-227|0
-57.7|0|-4.79185e-226|-6.05635e-226|0
-57.6|0|-6.99165e-225|5.13255e-225|0
-57.5|0|4.5981e-224|8.27903e-224|0
-57.4|0|9.26238e-223|-4.69584e-223|0
-57.3|0|-3.80865e-222|-1.07588e-221|0
-57.2|0|-1.16903e-220|3.5627e-221|0
-57.1|0|2.27835e-220|1.33164e-219|0
-57|0|1.40644e-218|-1.60113e-219|0
-56.9|0|8.54743e-220|-1.56985e-217|0
-56.8|0|-1.61096e-216|-1.24996e-217|0
-56.7|0|-3.29036e-216|1.75943e-215|0
-56.6|0|1.75114e-214|4.94841e-215|0
-56.5|0|7.23182e-214|-1.86692e-213|0
-56.4|0|-1.79551e-212|-9.32621e-213|0
-56.3|0|-1.16797e-211|1.8611e-211|0
-56.2|0|1.71753e-210|1.40839e-210|0
-56.1|0|1.62836e-209|-1.71847e-209|0
-56|0|-1.50087e-208|-1.88077e-208|0
-55.9|0|-2.06021e-207|1.42855e-207|0
-55.8|0|1.14395e-206|2.30104e-206|0
-55.7|0|2.41528e-205|-9.97856e-206|0
-55.6|0|-6.62752e-205|-2.61932e-204|0
-55.5|0|-2.64791e-203|4.51669e-204|0
-55.4|0|9.09949e-204|2.7919e-202|0
-55.3|0|2.72224e-201|1.67262e-202|0
-55.2|0|5.22695e-201|-2.78859e-200|0
-55.1|0|-2.61858e-199|-8.03159e-200|0
-55|0|-1.12052e-198|2.59843e-198|0
-54.9|0|2.33777e-197|1.39431e-197|0
-54.8|0|1.64329e-196|-2.23278e-196|0
-54.7|0|-1.90232e-195|-1.88174e-195|0
-54.6|0|-2.03896e-194|1.72478e-194|0
-54.5|0|1.35403e-193|2.21782e-193|0
-54.4|0|2.27033e-192|-1.12519e-192|0
-54.3|0|-7.48368e-192|-2.37336e-191|0
-54.2|0|-2.32053e-190|4.95203e-191|0
-54.1|0|1.46437e-190|2.34169e-189|0
-54|0|2.19508e-188|1.02443e-189|0
-53.9|0|3.93809e-188|-2.139e-187|0
-53.8|0|-1.92031e-186|-6.12415e-187|0
-53.7|0|-8.25641e-186|1.80098e-185|0
-53.6|0|1.5385e-184|9.94197e-185|0
-53.5|0|1.11939e-183|-1.37648e-183|0
-53.4|0|-1.10069e-182|-1.22664e-182|0
-53.3|0|-1.26516e-181|9.19439e-182|0
-53.2|0|6.58638e-181|1.30908e-180|0
-53.1|0|1.27209e-179|-4.80814e-180|0
-53|0|-2.57505e-179|-1.25898e-178|0
-52.9|0|-1.16471e-177|1.01761e-178|0
-52.8|0|-6.96022e-178|1.1071e-176|0
-52.7|0|9.77269e-176|1.90707e-176|0
-52.6|0|3.04423e-175|-8.91039e-175|0
-52.5|0|-7.47347e-174|-3.85197e-174|0
-52.4|0|-4.43551e-173|6.48845e-173|0
-52.3|0|5.0998e-172|4.84697e-172|0
-52.2|0|4.96094e-171|-4.13522e-171|0
-52.1|0|-2.93225e-170|-5.03286e-170|0
-52|0|-4.79783e-169|2.09444e-169|0
-51.9|0|1.15713e-168|4.61723e-168|0
-51.8|0|4.16519e-167|-5.0851e-168|0
-51.7|0|1.37915e-167|-3.82928e-166|0
-51.6|0|-3.28238e-165|-5.77101e-166|0
-51.5|0|-9.51529e-165|2.88157e-164|0
-51.4|0|2.33761e-163|1.19504e-163|0
-51.3|0|1.34565e-162|-1.94396e-162|0
-51.2|0|-1.46942e-161|-1.42962e-161|0
-51.1|0|-1.41843e-160|1.13114e-160|0
-51|0|7.61108e-160|1.38927e-159|0
-50.9|0|1.27888e-158|-5.02603e-159|0
-50.8|0|-2.45627e-158|-1.18303e-157|0
-50.7|0|-1.02729e-156|7.14323e-158|0
-50.6|0|-8.2821e-157|9.04089e-156|0
-50.5|0|7.43077e-155|1.82024e-155|0
-50.4|0|2.54611e-154|-6.21126e-154|0
-50.3|0|-4.80052e-153|-2.95643e-153|0
-50.2|0|-3.11201e-152|3.76615e-152|0
-50.1|0|2.67514e-151|3.12965e-151|0
-50|0|2.94521e-150|-1.90033e-150|0
-49.9|0|-1.15023e-149|-2.74169e-149|0
-49.8|0|-2.40145e-148|6.37668e-149|0
-49.7|0|1.87231e-148|2.10984e-147|0
-49.6|0|1.74127e-146|1.0342e-147|0
-49.5|0|3.24904e-146|-1.45008e-145|0
-49.4|0|-1.12715e-144|-4.5215e-145|0
-49.3|0|-5.20329e-144|8.84465e-144|0
-49.2|0|6.3884e-143|5.42965e-143|0
-49.1|0|5.23358e-142|-4.61935e-142|0
-49|0|-2.96788e-141|-4.90135e-141|0
-48.9|0|-4.31439e-140|1.83168e-140|0
-48.8|0|8.59744e-140|3.77078e-139|0
-48.7|0|3.10515e-138|-2.31058e-139|0
-48.6|0|2.45415e-138|-2.5611e-137|0
-48.5|0|-1.98293e-136|-5.20916e-137|0
-48.4|0|-6.81892e-136|1.54091e-135|0
-48.3|0|1.11255e-134|7.4431e-135|0
-48.2|0|7.33897e-134|-8.01666e-134|0
-48.1|0|-5.23162e-133|-6.89605e-133|0
-48|0|-6.06952e-132|3.31339e-132|0
-47.9|0|1.73157e-131|5.25403e-131|0
-47.8|0|4.29077e-130|-7.12257e-131|0
-47.7|0|3.94833e-131|-3.48626e-129|0
-47.6|0|-2.66853e-128|-4.71482e-129|0
-47.5|0|-7.25242e-128|2.03873e-127|0
-47.4|0|1.45548e-126|8.26108e-127|0
-47.3|0|8.26585e-126|-1.03242e-125|0
-47.2|0|-6.69915e-125|-7.74118e-125|0
-47.1|0|-6.7625e-124|4.21852e-124|0
-47|0|2.25885e-123|5.76373e-123|0
-46.9|0|4.63705e-122|-1.01141e-122|0
-46.8|0|-1.28132e-122|-3.69027e-121|0
-46.7|0|-2.77325e-120|-3.69187e-121|0
-46.6|0|-6.5053e-120|2.06946e-119|0
-46.5|0|1.44819e-118|7.5682e-119|0
-46.4|0|7.55845e-118|-1.00185e-117|0
-46.3|0|-6.37189e-117|-6.97851e-117|0
-46.2|0|-5.99278e-116|3.9137e-116|0
-46.1|0|2.06319e-115|4.99213e-115|0
-46|0|3.9276e-114|-9.10982e-115|0
-45.9|0|-1.36373e-114|-3.04243e-113|0
-45.8|0|-2.22924e-112|-2.83625e-113|0
-45.7|0|-5.04212e-112|1.61425e-111|0
-45.6|0|1.0984e-110|5.76052e-111|0
-45.5|0|5.61562e-110|-7.34705e-110|0
-45.4|0|-4.52396e-109|-5.04248e-109|0
-45.3|0|-4.21103e-108|2.66636e-108|0
-45.2|0|1.34142e-107|3.40055e-107|0
-45.1|0|2.59626e-106|-5.43713e-107|0
-45|0|-4.08386e-107|-1.94457e-105|0
-44.9|0|-1.37939e-104|-2.15595e-105|0
-44.8|0|-3.34359e-104|9.62655e-104|0
-44.7|0|6.31684e-103|3.60207e-103|0
-44.6|0|3.35401e-102|-4.04813e-102|0
-44.5|0|-2.38216e-101|-2.89003e-101|0
-44.4|0|-2.32267e-100|1.32265e-100|0
-44.3|0|6.1179e-100|1.80339e-99|0
-44.2|0|1.32592e-98|-2.03803e-99|0
-44.1|0|3.31282e-99|-9.53638e-98|0
-44|0|-6.50103e-97|-1.42374e-97|0
-43.9|0|-1.82124e-96|4.34004e-96|0
-43.8|0|2.72156e-95|1.80276e-95|0
-43.7|0|1.57828e-94|-1.65291e-94|0
-43.6|0|-9.14591e-94|-1.29074e-93|0
-43.5|0|-9.8935e-93|4.65842e-93|0
-43.4|0|1.85513e-92|7.3295e-92|0
-43.3|0|5.15138e-91|-3.51813e-92|0
-43.2|0|4.27683e-91|-3.53255e-90|0
-43.1|0|-2.29626e-89|-7.25676e-90|0
-43|0|-7.75478e-89|1.45392e-88|0
-42.9|0|8.61772e-88|6.987e-88|0
-42.8|0|5.70081e-87|-4.88832e-87|0
-42.7|0|-2.48217e-86|-4.38989e-86|0
-42.6|0|-3.18569e-85|1.10412e-85|0
-42.5|0|3.15631e-85|2.2362e-84|0
-42.4|0|1.49151e-83|6.63818e-85|0
-42.3|0|2.31077e-83|-9.67811e-83|0
-42.2|0|-5.94552e-82|-2.68649e-82|0
-42.1|0|-2.47107e-81|3.53249e-81|0
-42|0|1.94982e-80|2.02698e-80|0
-41.9|0|1.53508e-79|-1.00978e-79|0
-41.8|0|-4.49665e-79|-1.10677e-78|0
-41.7|0|-7.55694e-78|1.53529e-78|0
-41.6|0|3.02955e-79|4.99228e-77|0
-41.5|0|3.13589e-76|5.81306e-77|0
-41.4|0|7.49879e-76|-1.90856e-75|0
-41.3|0|-1.09579e-74|-6.99638e-75|0
-41.2|0|-5.68084e-74|6.01909e-74|0
-41.1|0|3.02211e-73|4.25601e-73|0
-41|0|2.98554e-72|-1.36839e-72|0
-40.9|0|-4.75239e-72|-2.00599e-71|0
-40.8|0|-1.28097e-70|5.49104e-72|0
-40.7|0|-1.2135e-70|7.9062e-70|0
-40.6|0|4.63518e-69|1.66978e-69|0
-40.5|0|1.56167e-68|-2.61623e-68|0
-40.4|0|-1.38184e-67|-1.24928e-67|0
-40.3|0|-9.1047e-67|6.85021e-67|0
-40.2|0|2.98975e-66|6.24531e-66|0
-40.1|0|4.0491e-65|-1.05667e-65|0
-40|0|-1.44828e-65|-2.52267e-64|0
-39.9|0|-1.49615e-63|-2.05203e-64|0
-39.8|0|-2.94926e-63|8.55e-63|0
-39.7|0|4.6229e-62|2.70201e-62|0
-39.6|0|2.09933e-61|-2.38014e-61|0
-39.5|0|-1.12668e-60|-1.48525e-60|0
-39.4|0|-9.80387e-60|4.80516e-60|0
-39.3|0|1.61314e-59|6.15809e-59|0
-39.2|0|3.67628e-58|-2.27361e-59|0
-39.1|0|2.90019e-58|-2.10976e-57|0
-39|0|-1.15147e-56|-3.9875e-57|0
-38.9|0|-3.52534e-56|6.01716e-56|0
-38.8|0|2.94724e-55|2.63223e-55|0
-38.7|0|1.78389e-54|-1.34594e-54|0
-38.6|0|-5.41536e-54|-1.132e-53|0
-38.5|0|-6.78761e-53|1.73771e-53|0
-38.4|0|1.97861e-53|3.8928e-52|0
-38.3|0|2.12633e-51|3.13058e-52|0
-38.2|0|3.99808e-51|-1.11341e-50|0
-38.1|0|-5.51833e-50|-3.33433e-50|0
-38|0|-2.36594e-49|2.58708e-49|0
-37.9|0|1.11332e-48|1.52715e-48|0
-37.8|0|9.20287e-48|-4.25643e-48|0
-37.7|0|-1.24788e-47|-5.26063e-47|0
-37.6|0|-2.85921e-46|1.02092e-47|0
-37.5|0|-2.45933e-46|1.48758e-45|0
-37.4|0|7.36096e-45|2.789e-45|0
-37.3|0|2.17682e-44|-3.46799e-44|0
-37.2|0|-1.52944e-43|-1.45342e-43|0
-37.1|0|-8.8463e-43|6.22813e-43|0
-37|0|2.21186e-42|5.03872e-42|0
-36.9|0|2.71439e-41|-5.96867e-42|0
-36.8|0|-2.38297e-42|-1.39441e-40|0
-36.7|0|-6.82302e-40|-1.24477e-40|0
-36.6|0|-1.26842e-39|3.18665e-39|0
-36.5|0|1.40775e-38|9.16021e-39|0
-36.4|0|5.71514e-38|-5.84531e-38|0
-36.3|0|-2.22026e-37|-3.25645e-37|0
-36.2|0|-1.73583e-36|7.37877e-37|0
-36.1|0|1.81349e-36|8.76265e-36|0
-36|0|4.20692e-35|-3.38048e-37|0
-35.9|0|3.68461e-35|-1.9273e-34|0
-35.8|0|-8.39622e-34|-3.39959e-34|0
-35.7|0|-2.27485e-33|3.46901e-33|0
-35.6|0|1.34151e-32|1.31627e-32|0
-35.5|0|6.96378e-32|-4.76894e-32|0
-35.4|0|-1.47984e-31|-3.44554e-31|0
-35.3|0|-1.61234e-30|3.47702e-31|0
-35.2|0|1.34588e-31|7.17752e-30|0
-35.1|0|3.04299e-29|5.33181e-30|0
-35|0|4.70228e-29|-1.22846e-28|0
-34.9|0|-4.69703e-28|-2.92286e-28|0
-34.8|0|-1.56318e-27|1.68814e-27|0
-34.7|0|5.59597e-27|7.60881e-27|0
-34.6|0|3.45611e-26|-1.65118e-26|0
-34.5|0|-3.90661e-26|-1.4819e-25|0
-34.4|0|-6.0344e-25|4.31191e-26|0
-34.3|0|-2.68969e-25|2.33948e-24|0
-34.2|0|8.6323e-24|2.65814e-24|0
-34.1|0|1.58229e-23|-3.02434e-23|0
-34|0|-9.99795e-23|-7.82123e-23|0
-33.9|0|-3.4729e-22|3.08584e-22|0
-33.8|0|8.69822e-22|1.42705e-21|0
-33.7|0|5.50828e-21|-2.13641e-21|0
-33.6|0|-3.95406e-21|-2.01161e-20|0
-33.5|0|-6.97773e-20|1.40165e-21|0
-33.4|0|-3.53172e-20|2.30155e-19|0
-33.3|0|7.21468e-19|2.41116e-19|0
-33.2|0|1.14604e-18|-2.14387e-18|0
-33.1|0|-6.00992e-18|-4.63632e-18|0
-33|0|-1.69302e-17|1.57621e-17|0
-32.9|0|3.81096e-17|5.71634e-17|0
-32.8|0|1.80636e-16|-8.2565e-17|0
-32.7|0|-1.49861e-16|-5.37402e-16|0
-32.6|0|-1.50982e-15|1.78668e-16|0
-32.5|0|-1.35122e-16|4.00894e-15|0
-32.4|0|1.00552e-14|1.85435e-15|0
-32.3|0|8.09658e-15|-2.37778e-14|0
-32.2|0|-5.285e-14|-2.6916e-14|0
-32.1|0|-7.69606e-14|1.099e-13|0
-32|0|2.12437e-13|1.96991e-13|0
-31.9|0|4.58762e-13|-3.78186e-13|0
-31.8|0|-6.11558e-13|-9.77971e-13|0
-31.7|0|-1.90914e-12|8.78563e-13|0
-31.6|0|1.07647e-12|3.3997e-12|0
-31.5|0|5.47741e-12|-1.02271e-12|0
-31.4|0|-5.08368e-13|-7.87322e-12|0
-31.3|0|-9.85773e-12|-5.43566e-13|0
-31.2|0|-1.84543e-12|1.02754e-11|0
-31.1|0|8.00053e-12|2.61738e-12|0
-31|0|1.86924e-12|-2.85033e-12|0
-30.9|0|3.51701e-12|7.47713e-13|0
-30.8|0|3.9673e-12|-7.72611e-12|0
-30.7|0|-6.65753e-12|-5.0155e-12|0
-30.6|0|-1.79834e-12|5.3952e-13|0
-30.5|0|-5.74811e-12|-3.96625e-12|0
-30.4|0|-6.55025e-12|6.09468e-12|0
-30.3|0|-2.00151e-13|1.80106e-12|0
-30.2|0|-5.95761e-12|5.95199e-12|0
-30.1|0|3.64206e-12|6.43141e-12|0
-30|0|-2.65346e-12|3.80059e-12|0
-29.9|0|5.17047e-12|8.42768e-12|0
-29.8|0|3.5002e-13|2.15628e-12|0
-29.7|0|5.6904e-12|9.06636e-12|0
-29.6|0|1.81408e-12|1.6518e-12|0
-29.5|0|5.94688e-12|9.60444e-12|0
-29.4|0|1.13932e-12|2.48204e-12|0
-29.3|0|5.76632e-12|1.05566e-11|0
-29.2|0|-1.95141e-12|5.07449e-12|0
-29.1|0|4.4606e-12|1.06275e-11|0
-29|0|-7.19885e-12|8.24404e-12|0
-28.9|0|-6.86349e-13|6.04877e-12|0
-28.8|0|-1.32104e-11|8.70093e-12|0
-28.7|0|-1.078e-11|-3.94169e-12|0
